case_anesthesia,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
General,1136,40.150038874317225,39.255403342879234,0.8946355314379865,1.004616928100603,0.5633802816901409,0.43661971830985913,0.020246478873239437,0.0044014084507042256,234.52200704225353,-2.5338164846662057,-3.0590154804133527,3.9915012442209608,0.5871478873239436
Moderate Sedation (RN),131,17.204204361311355,16.76433666554945,0.43986769576189916,0.31376621545223315,0.5572519083969466,0.44274809160305345,0.0,0.0,110.16793893129771,-2.709315216996289,-2.1418884130714217,3.005708827882292,0.6030534351145038
Monitored Anesthesia Care,1066,32.04894883118248,31.84399647028471,0.20495236089777114,0.10095911473035812,0.5121951219512195,0.4878048780487805,0.00375234521575985,0.0009380863039399625,164.61444652908068,3.6437151767523157,-1.8378699485387677,3.196027575449239,0.5469043151969981
*Unspecified,460,19.250249865988025,19.166190116127265,0.08405974986076563,0.13841240228085283,0.5195652173913043,0.48043478260869565,0.002173913043478261,0.0,104.92826086956522,2.406870314556619,-0.7556390972332991,2.3539486242246697,0.5391304347826087
,23,13.651255068571672,13.59634358281811,0.054911485753560176,-0.48290871261687585,0.34782608695652173,0.6521739130434783,0.0,0.0,80.30434782608695,0.6158736519191573,-1.9558503908124185,2.6648852261221636,0.391304347826087
