case_urgency_level,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
Elective,1520,33.820494697470416,33.186476781611,0.634017915859421,0.6660583716717241,0.5572368421052631,0.44276315789473686,0.015131578947368421,0.003947368421052632,188.41315789473686,-0.9275960821854438,-2.816220397631048,3.7278728926665208,0.5822368421052632
Semi-Urgent,798,30.156358081177064,29.86415446212521,0.2922036190518507,0.019539974919268843,0.5012531328320802,0.49874686716791977,0.006265664160401002,0.0,170.70802005012533,1.2457196840367526,-1.601834132017197,3.135509989698364,0.5375939849624061
*Unspecified,429,29.379211600065787,29.095495095573753,0.2837165044920305,0.1690127628955338,0.5268065268065268,0.4731934731934732,0.0,0.0,156.4079254079254,5.942253614305617,-1.1342882840516535,2.602074602835407,0.5571095571095571
Urgent,87,38.23178858263739,37.94996135580864,0.2818272268287572,0.1747234207478101,0.5057471264367817,0.4942528735632184,0.0,0.0,205.6206896551724,-1.9377830066900152,-1.074032272790634,2.689855892492319,0.5057471264367817
