procedure_family,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
AF/PVI ablation,677,34.40891310721416,33.10160641005338,1.307306697160781,1.7008820059809295,0.6129985228951256,0.3870014771048744,0.029542097488921712,0.005908419497784343,217.12555391432792,-10.639426484100927,-3.7964806767155355,4.380645901401695,0.6425406203840472
Lead/device extraction-removal,76,49.14149269304777,48.41481605641959,0.7266766366281894,-0.2582288742065515,0.4605263157894737,0.5394736842105263,0.0,0.0,216.47368421052633,16.62308924825568,-0.9849087006708498,2.435458220193901,0.4868421052631579
VT/PVC ablation,295,54.19590401342359,53.85933025096165,0.3365737624619416,0.42292089284330814,0.5322033898305085,0.46779661016949153,0.006779661016949152,0.0,294.88813559322034,4.2868906725867335,-1.588833067638347,3.468347199331946,0.5559322033898305
Device implant,712,25.519770485095762,25.187738995938535,0.3320314891572298,0.225794500112535,0.526685393258427,0.47331460674157305,0.0,0.0,145.4255617977528,2.0757496501622574,-1.584612903714216,2.7043399852147876,0.5561797752808989
Other ablation,365,36.598240226850116,36.29463288924565,0.3036073376044696,0.23779688059420323,0.5205479452054794,0.4794520547945205,0.010958904109589041,0.005479452054794521,200.13698630136986,7.090901786072614,-2.9642695502462715,3.629399059119889,0.5424657534246575
Other,115,19.06952962129012,18.90703384015695,0.16249578113317842,0.4197091239604518,0.5217391304347826,0.4782608695652174,0.0,0.0,64.84347826086956,-1.3989045350447942,-1.5959524063485342,2.4048694389052394,0.5391304347826087
LAA closure,47,23.792780514980887,23.698583644095702,0.09419687088518276,0.5296809536305034,0.5531914893617021,0.44680851063829785,0.0,0.0,160.93617021276594,1.1814656359084121,-2.65939143040484,3.6201142289737445,0.5957446808510638
Device revision-generator-upgrade,306,23.197445608899482,23.296548740227273,-0.09910313132778985,-0.22938785403967898,0.47058823529411764,0.5294117647058824,0.0,0.0,130.30392156862746,8.316570626053155,-0.34032301990146424,2.82337543575646,0.5098039215686274
Diagnostic/testing,233,23.667748712367768,23.906558675126025,-0.2388099627582592,-0.27952579677968004,0.4592274678111588,0.5407725321888412,0.008583690987124463,0.0,107.12446351931331,0.41865596198217053,-1.5938809877301534,3.2318741242718154,0.48497854077253216
