note_count_bin,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
13-23,260,34.54487657400278,33.09711644587054,1.4477601281322479,1.4817942380905436,0.573076923076923,0.4269230769230769,0.038461538461538464,0.0,190.5730769230769,-2.5738446514423083,-3.8919863961479106,4.51332198945175,0.5961538461538461
24 cap,2482,32.02647452435121,31.646427335126788,0.38004718922442243,0.2912028372287594,0.5310233682514102,0.46897663174858983,0.007252215954875101,0.0024174053182917004,177.8255439161966,0.9647965688651655,-1.9490339398693448,3.2346917052440687,0.5600322320709106
6-12,65,31.957184131328876,31.619261254609025,0.33792287671984905,0.7080763858643309,0.5538461538461539,0.4461538461538462,0.0,0.0,167.92307692307693,-2.6071456087552565,-3.191692099952322,3.4531862529772126,0.5692307692307692
0,6,37.79493459065755,37.66008763317397,0.13484695748357467,0.4466237065282286,0.5,0.5,0.0,0.0,216.33333333333334,37.79493459065755,0.13484695748357467,1.028121886899072,0.5
1-5,26,28.960076669546275,29.341657356153615,-0.38158068660734357,-1.0444863366994497,0.46153846153846156,0.5384615384615384,0.0,0.0,205.53846153846155,6.311152296799881,-3.8549850182206225,3.982575465289501,0.5
