concept_flag,n_present,prevalence,present_gain,present_base_mae,present_final_mae,present_improved_rate,absent_gain,gain_lift_present_minus_absent,mean_correction_present
congenital_complex_anatomy,241,0.08488904543853469,0.4399409139351239,41.08539539194702,40.645454478011885,0.5311203319502075,0.472102373976496,-0.0321614600413721,0.6423087624574574
access_support,377,0.13279323705530116,0.26704879065884024,35.79841494775261,35.53136615709377,0.506631299734748,0.5003535068119085,-0.23330471615306825,-0.21699941985651763
vt_pvc_instability,1157,0.4075378654455794,0.22103749179448504,36.32330849234565,36.10227100055117,0.5108038029386344,0.6401946194073022,-0.4191571276128171,-1.0602559873065691
redo_prior_ablation,442,0.15568862275449102,0.21799323837895807,40.13161712663745,39.91362388825849,0.5113122171945701,0.515725789105466,-0.2977325507265079,0.23651467513566019
device_lead_complexity,345,0.12152166255723847,0.14350832013803574,27.354170116479846,27.21066179634181,0.4811594202898551,0.5144496220536003,-0.3709413019155646,-0.38027236237474976
