scheduled_duration_bin,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
210-299,874,42.01489561766182,41.020077472872565,0.9948181447892497,1.0743643902242468,0.5766590389016019,0.4233409610983982,0.02402745995423341,0.004576659038901602,233.69565217391303,-4.47650935087924,-3.113029453020686,4.018033612935961,0.6075514874141876
420+,25,49.47489367675782,49.01103094201122,0.4638627347465876,-0.4722889167156836,0.48,0.52,0.0,0.0,323.16,-1.525995971679687,-1.673892950049351,3.7719941641306627,0.52
300-419,192,58.07953507105509,57.67476713241863,0.4047679386364618,0.2603997784766534,0.515625,0.484375,0.010416666666666666,0.010416666666666666,305.6875,8.926902103424071,-1.74994042711556,3.7183393190320433,0.53125
150-209,507,35.06545142600757,34.79262673033018,0.27282469567738965,0.3348751288738754,0.5207100591715976,0.47928994082840237,0.005917159763313609,0.0,191.22090729783037,3.3492494571843796,-2.446253299704213,3.5144705058878665,0.5404339250493096
90-149,859,22.164655961202104,21.950949260540803,0.2137067006613019,0.17500351845356477,0.5238649592549476,0.47613504074505236,0.002328288707799767,0.0,128.37834691501746,2.9655485115450952,-1.4506561209614879,2.7723396813514487,0.5506402793946449
<90,382,14.663720050032852,14.527938688409455,0.13578136162339535,-0.024132460355758667,0.49476439790575916,0.5052356020942408,0.0,0.0,79.1151832460733,-0.1623068085515689,-1.4955799958807627,2.756237213890528,0.5366492146596858
