case_surgery_patient_class,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
Surgery Admit,116,31.500323604715284,30.15119102846812,1.3491325762471593,1.8459483504295306,0.6724137931034483,0.3275862068965517,0.0,0.0,179.16379310344828,-12.016128342727132,-3.0462574896374153,3.7414664565365454,0.7068965517241379
Outpatient in a Bed (Outpatient Overnight),211,45.336187429563694,44.492426817249594,0.8437606123140972,0.9282657343063079,0.5781990521327014,0.4218009478672986,0.004739336492890996,0.0,227.61137440758293,4.858782159886655,-2.111188477524778,3.565560242183343,0.6066350710900474
Outpatient Surgery,1796,32.02551342150682,31.547942587327814,0.4775708341790036,0.3610921815037713,0.5300668151447662,0.46993318485523383,0.014476614699331848,0.0033407572383073497,182.6609131403118,-0.42792466573566523,-2.623430462028947,3.628119376668587,0.5595768374164811
Patient currently in Hospital (Inpatient/Emergency/Observation),715,29.027864865923256,28.823680372255357,0.2041844936679057,0.07215016306308542,0.5118881118881119,0.4881118881118881,0.0013986013986013986,0.0,155.7104895104895,4.263543287690703,-0.8952408367392477,2.5566452274521403,0.5356643356643357
