pls_component,mean_abs_contribution_minutes,mean_signed_contribution_minutes
7,1.207243800163269,0.015236379578709602
12,1.0977935642004013,-0.015332317911088467
9,1.014641523361206,-0.04958995897322893
13,0.9292427748441696,-0.009663942037150264
26,0.842399887740612,-0.011313095455989242
16,0.8399133235216141,-0.4517507031559944
17,0.838225319981575,-0.1726383199566044
24,0.7715759575366974,0.040384113788604736
8,0.7441239394247532,0.019300524378195405
2,0.7084016129374504,-0.07364212407264858
21,0.7055605407804251,-0.021734534297138453
19,0.686319150030613,0.08382525760680437
3,0.6497714072465897,0.07566712651168928
11,0.6154472753405571,-0.05370141565799713
14,0.6003234013915062,0.02771629998460412
1,0.540236622095108,0.03795845154672861
4,0.46980690583586693,-0.012512681947555393
23,0.4486907124519348,-0.05208213196601719
5,0.44701130129396915,0.033701099862810224
18,0.4132389426231384,0.04795930488035083
6,0.36252710851840675,-0.04720367325353436
10,0.280309597030282,0.04155921295750886
22,0.2652643881738186,-0.03022096015047282
20,0.26156008522957563,0.033216695417650044
25,0.22666339203715324,-0.042762715835124254
15,0.1505387034267187,0.02191191806923598
