actual_duration_bin,n,base_mae,final_mae,gain,median_gain,improved_rate,worsened_rate,large_win_rate_gain_gt10,large_loss_rate_gain_lt_minus10,mean_actual_duration,mean_base_residual_actual_minus_base,mean_model_correction_final_minus_base,mean_abs_correction,alignment_rate
150-209,694,31.623538775265388,30.30581909287767,1.317719682387722,1.1453593105077715,0.6037463976945245,0.3962536023054755,0.025936599423631124,0.001440922190201729,178.47118155619597,-11.43879055495908,-2.742665839569459,3.7219182536376176,0.6282420749279539
<90,451,16.993372016788324,16.035483708604787,0.9578883081835368,1.175029403260659,0.6186252771618626,0.38137472283813745,0.0022172949002217295,0.0,64.78713968957871,-14.337984018262368,-1.8764089015565275,3.0012423632543928,0.6629711751662971
90-149,795,21.493715857739716,20.917559133520836,0.5761567242188852,0.44729206143946953,0.5547169811320755,0.44528301886792454,0.007547169811320755,0.0,119.53584905660378,-10.07950253756541,-1.7643516231738672,3.0128449360336345,0.5836477987421383
420+,63,128.32205825079055,127.99492307701557,0.32713517377499146,-0.17777735172842313,0.49206349206349204,0.5079365079365079,0.015873015873015872,0.0,489.36507936507934,120.74329906645276,0.4971345219291586,2.907363591379334,0.5079365079365079
210-299,605,35.595347673400376,35.83982419249015,-0.24447651908976958,-0.4833484035816582,0.45454545454545453,0.5454545454545454,0.003305785123966942,0.006611570247933884,246.9206611570248,8.166959112498386,-2.702642629235235,3.697098312452648,0.4826446280991736
300-419,231,65.84675514914773,67.33897669187968,-1.4922215427319494,-1.8600349861297047,0.31601731601731603,0.683982683982684,0.0,0.004329004329004329,346.93939393939394,51.15644341010552,-1.7324236081718745,3.395885914484614,0.3246753246753247
